1617849589, junnnnislife, caught yosefsa7, 1
1617849868, auloen, snapped, 0
1617849944, styx722, snapped, 0
1617850048, deeeeckslayer, snapped, 0
1617850077, auloen, snapped, 0
1617850229, auloen, snapped, 0
1617850546, projectjan, caught bibiethumps, 1
1617850860, mahdy_salad, caught enshaha, 1
1617851058, junnnnislife, snapped, 0
1617851374, styx722, caught deeeeckslayer, 1
1617851509, junnnnislife, snapped, 0
1617851642, junnnnislife, snapped, 0
1617851827, junnnnislife, snapped, 0
1617851978, zyzstem, snapped, 0
1617852290, projectjan, caught skwishi, 1
1617852460, zyzstem, snapped, 0
1617852813, mistermonsieur, caught napalm36, 1
1617852958, junnnnislife, snapped, 0
1617853118, junnnnislife, snapped, 0
1617853170, styx722, snapped, 0
1617853378, junnnnislife, snapped, 0
1617853682, styx722, caught cetkaman, 16
1617853797, melpomenecarthasis, snapped, 0
1617854102, mistermonsieur, caught mr_its, 1
1617854147, junnnnislife, snapped, 0
1617854454, projectjan, caught werethomas, 1
1617854680, kuroneko__27, snapped, 0
1617854743, junnnnislife, snapped, 0
1617854967, junnnnislife, snapped, 0
1617855255, junnnnislife, snapped, 0
1617855576, mistermonsieur, caught brokhest, 1
1617855890, styx722, caught inpherioryt, 1
1617856190, mistermonsieur, caught bibiethumps, 1
1617856499, styx722, caught ouglaaa, 1
1617856746, junnnnislife, snapped, 0
1617857060, projectjan, caught ovli_mikhail, 1
1617857385, styx722, caught joolem, 1
1617857707, projectjan, caught mahdy_salad, 3
1617858012, styx722, caught goodboy_000, 1
1617858311, projectjan, snapped, 0
1617858672, kjhgfr, caught gimdah, 1
1617858725, junnnnislife, snapped, 0
1617859033, styx722, caught barfoos, 1
1617859403, projectjan, caught kittenhibachi, 1
1617859717, styx722, caught commanderroot, 1
1617860025, projectjan, caught fubuking_tv, 1
1617860367, styx722, caught cxdbfg, 1
1617860670, mistermonsieur, caught cxdbfg, 1
1617860984, projectjan, caught vali74, 1
1617861311, mistermonsieur, caught vrab, 1
1617861616, styx722, caught melpomenecarthasis, 20
1617861642, junnnnislife, snapped, 0
1617861952, projectjan, caught reeele_, 1
1617862256, junnnnislife, caught giannamalakas, 1
1617862558, cetkaman, caught durminon, 1
1617862849, mahdy_salad, snapped, 0
1617863132, projectjan, snapped, 0
1617863436, styx722, caught vedimuthu, 1
1617863746, projectjan, caught buppanowa, 1
1617863760, melpomenecarthasis, snapped, 0
1617864203, mahdy_salad, caught archmono, 1
1617864507, styx722, caught streamfollower, 1
1617864809, chinasoupnumbawan, caught overhype_, 1
1617865108, projectjan, snapped, 0
1617865223, junnnnislife, snapped, 0
1617865537, projectjan, caught deeeeckslayer, 1
1617865763, junnnnislife, snapped, 0
1617866059, cetkaman, snapped, 0
1617866093, deeeeckslayer, snapped, 0
1617866416, cetkaman, caught chuotnhatho0509, 1
1617866730, styx722, caught minggerss, 1
1617867040, cetkaman, caught kecoafeed, 1
1617867226, kenztien, snapped, 0
1617867683, styx722, caught chicbreeze, 1
1617867949, projectjan, snapped, 0
1617868244, projectjan, snapped, 0
1617868415, mahdy_salad, snapped, 0
1617868663, projectjan, snapped, 0
1617868680, junnnnislife, snapped, 0
1617868823, junnnnislife, snapped, 0
1617868877, junnnnislife, snapped, 0
1617869020, projectjan, snapped, 0
1617869317, projectjan, snapped, 0
1617869479, auloen, snapped, 0
1617869600, kenztien, snapped, 0
1617869643, projectjan, snapped, 0
1617869907, junnnnislife, snapped, 0
1617870205, projectjan, snapped, 0
1617870523, chinasoupnumbawan, caught tetyys, 1
1617870572, projectjan, snapped, 0
1617870876, styx722, caught kenarimaju, 1
1617871163, projectjan, snapped, 0
1617871500, projectjan, caught giannamalakas, 1
1617871750, melpomenecarthasis, snapped, 0
1617872055, styx722, caught keandro, 1
1617872084, quote_if_chronopticenergy, snapped, 0
1617872119, quote_if_chronopticenergy, snapped, 0
1617872208, quote_if_chronopticenergy, snapped, 0
1617872233, quote_if_chronopticenergy, snapped, 0
1617872423, quote_if_chronopticenergy, snapped, 0
1617872447, projectjan, snapped, 0
1617872469, quote_if_chronopticenergy, snapped, 0
1617872568, projectjan, snapped, 0
1617872627, projectjan, snapped, 0
1617872674, melpomenecarthasis, snapped, 0
1617872834, melpomenecarthasis, snapped, 0
1617872869, projectjan, snapped, 0
1617872965, projectjan, snapped, 0
1617873231, quote_if_chronopticenergy, snapped, 0
1617873302, melpomenecarthasis, snapped, 0
1617873396, projectjan, snapped, 0
1617873559, melpomenecarthasis, snapped, 0
1617873713, melpomenecarthasis, snapped, 0
1617873761, melpomenecarthasis, snapped, 0
1617873817, melpomenecarthasis, snapped, 0
1617873896, melpomenecarthasis, snapped, 0
1617873929, projectjan, snapped, 0
1617874259, lnreader, caught ice_emblem, 1
1617874274, elsaga1997, snapped, 0
1617874520, skymachine09, snapped, 0
1617874579, styx722, snapped, 0
1617874605, sscuzzy, snapped, 0
1617874849, mistermonsieur, snapped, 0
1617875134, clocked_7, snapped, 0
1617875457, styx722, caught gimdah, 1
1617875591, mistermonsieur, snapped, 0
1617876283, junnnnislife, caught grafdagestan, 1
1617876314, zalathormnw, snapped, 0
1617876704, sscuzzy, caught pistolaing, 1
1617876732, junnnnislife, snapped, 0
1617876905, electricmuffin, snapped, 0
1617877197, junnnnislife, snapped, 0
1617877426, junnnnislife, snapped, 0
1617877577, electricmuffin, snapped, 0
1617878019, chinasoupnumbawan, caught kayopolice_is_mai_waifu, 1
1617878068, melpomenecarthasis, snapped, 0
1617878302, melpomenecarthasis, snapped, 0
1617878386, skyyse_, snapped, 0
1617878583, yaejii, snapped, 0
1617878717, junnnnislife, snapped, 0
1617879227, electricmuffin, caught regisrex97, 1
1617879248, junnnnislife, snapped, 0
1617879288, sscuzzy, snapped, 0
1617879463, junnnnislife, snapped, 0
1617879483, mast3ry, snapped, 0
1617879696, seobearz, snapped, 0
1617879715, junnnnislife, snapped, 0
1617879740, ayejuan, snapped, 0
1617879922, seobearz, snapped, 0
1617879947, dlwlrmaf, snapped, 0
1617880223, styx722, snapped, 0
